Idade,Genero,Estados,Cargo,Carreira,Faixa salarial,Experiencia,Raça
48,Masculino,São Paulo (SP),Outra opção,Sênior,10000.0,Menos de 1 ano,Branca
29,Masculino,Distrito Federal (DF),Engenheiro de dados,Sênior,10000.0,de 3 a 4 anos,Branca
27,Masculino,Espírito Santo (ES),,,10000.0,de 3 a 4 anos,Branca
28,Masculino,Espírito Santo (ES),Analista de Dados,Júnior,1500.0,Menos de 1 ano,Branca
27,Masculino,Santa Catarina (SC),Analista de Dados,Sênior,10000.0,de 3 a 4 anos,Branca
28,Masculino,Santa Catarina (SC),Cientista de dados,Júnior,1000.0,de 3 a 4 anos,Branca
29,Masculino,Rio de Janeiro (RJ),Outra opção,Sênior,14000.0,de 5 a 6 anos,Branca
28,Masculino,Paraná (PR),Outra opção,Pleno,3500.0,Não tenho experiência na área de dados,Branca
21,Masculino,Goiás (GO),,,,,Branca
49,Masculino,São Paulo (SP),,,27500.0,de 5 a 6 anos,Branca
33,Feminino,Pernambuco (PE),Analista de Dados,Pleno,10000.0,de 3 a 4 anos,Parda
23,Masculino,Rio de Janeiro (RJ),Analista de Dados,Pleno,3500.0,de 1 a 2 anos,Parda
27,Masculino,Goiás (GO),Engenheiro de dados,Pleno,5000.0,de 1 a 2 anos,Parda
37,Feminino,São Paulo (SP),,,,,Branca
34,Masculino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 5 a 6 anos,Amarela
24,Masculino,São Paulo (SP),Outra opção,Júnior,2500.0,de 1 a 2 anos,Branca
24,Feminino,São Paulo (SP),Outra opção,Júnior,2500.0,de 1 a 2 anos,Branca
35,Masculino,São Paulo (SP),Engenheiro de dados,Pleno,14000.0,de 7 a 10 anos,Parda
26,Masculino,Ceará (CE),Analista de Dados,Pleno,10000.0,de 3 a 4 anos,Parda
25,Masculino,São Paulo (SP),Analista de Dados,Pleno,10000.0,de 3 a 4 anos,Branca
28,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,22500.0,de 7 a 10 anos,Branca
19,Masculino,São Paulo (SP),Analista de BI,Júnior,3500.0,Menos de 1 ano,Branca
28,Feminino,Minas Gerais (MG),,,,,Parda
42,Feminino,São Paulo (SP),Cientista de dados,Pleno,10000.0,Mais de 10 anos,Branca
45,Masculino,Santa Catarina (SC),Outra opção,Sênior,5000.0,Não tenho experiência na área de dados,Branca
30,Masculino,São Paulo (SP),,,22500.0,de 4 a 6 anos,Branca
28,Masculino,São Paulo (SP),Engenheiro de dados,Pleno,10000.0,de 3 a 4 anos,Branca
25,Masculino,Minas Gerais (MG),Outra opção,Pleno,5000.0,de 1 a 2 anos,Parda
26,Masculino,Santa Catarina (SC),Cientista de dados,Pleno,5000.0,Menos de 1 ano,Branca
29,Feminino,Paraná (PR),,,10000.0,de 3 a 4 anos,Branca
24,Feminino,São Paulo (SP),Analista de Dados,Pleno,7000.0,de 3 a 4 anos,Parda
32,Masculino,São Paulo (SP),Analista de BI,Sênior,10000.0,de 4 a 6 anos,Preta
41,Feminino,Paraná (PR),Outra opção,Sênior,10000.0,de 3 a 4 anos,Parda
33,Masculino,Minas Gerais (MG),,,18000.0,Mais de 10 anos,Branca
37,Masculino,Rio Grande do Sul (RS),Analista de Dados,Pleno,5000.0,de 3 a 4 anos,Branca
31,Feminino,Rio Grande do Sul (RS),Analista de Dados,Júnior,5000.0,de 1 a 2 anos,Branca
26,Feminino,Espírito Santo (ES),Cientista de dados,Pleno,10000.0,de 3 a 4 anos,Branca
30,Feminino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 3 a 4 anos,Branca
31,Masculino,Paraná (PR),Engenheiro de dados,Pleno,7000.0,de 3 a 4 anos,Parda
26,Masculino,Paraná (PR),Analista de Dados,Júnior,2500.0,Menos de 1 ano,Branca
26,Feminino,Piauí (PI),Cientista de dados,Júnior,1500.0,de 1 a 2 anos,Parda
50,Masculino,Minas Gerais (MG),,,40000.0,Mais de 10 anos,Branca
37,Masculino,,Analista de Dados,Pleno,18000.0,de 3 a 4 anos,Branca
36,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,18000.0,de 5 a 6 anos,Parda
32,Masculino,Espírito Santo (ES),Analista de Dados,Pleno,7000.0,de 1 a 2 anos,Branca
50,Feminino,Minas Gerais (MG),,,,,Parda
28,Masculino,São Paulo (SP),,,18000.0,de 7 a 10 anos,Branca
27,Feminino,,,,,,Branca
29,Masculino,Espírito Santo (ES),,,10000.0,de 3 a 4 anos,Preta
38,Masculino,São Paulo (SP),Analista de BI,Sênior,27500.0,Mais de 10 anos,Parda
42,Feminino,São Paulo (SP),Outra opção,Sênior,14000.0,de 5 a 6 anos,Branca
30,Masculino,Rio de Janeiro (RJ),Outra opção,Pleno,5000.0,de 5 a 6 anos,Preta
25,Masculino,Rio Grande do Sul (RS),,,,,Branca
24,Masculino,Minas Gerais (MG),Analista de BI,Júnior,1500.0,de 1 a 2 anos,Branca
27,Masculino,Paraná (PR),Engenheiro de dados,Pleno,14000.0,de 3 a 4 anos,Branca
28,Masculino,São Paulo (SP),Analista de BI,Pleno,7000.0,de 3 a 4 anos,Branca
35,Masculino,Rio de Janeiro (RJ),Outra opção,Pleno,1500.0,Menos de 1 ano,Parda
27,Feminino,Paraná (PR),,,7000.0,de 3 a 4 anos,Parda
29,Masculino,Paraíba (PB),Engenheiro de dados,Júnior,5000.0,de 3 a 4 anos,Branca
26,Masculino,Rio Grande do Sul (RS),Analista de BI,Pleno,5000.0,de 3 a 4 anos,Branca
42,Masculino,São Paulo (SP),,,18000.0,Não tenho experiência na área de dados,Parda
41,Masculino,São Paulo (SP),,,35000.0,Mais de 10 anos,Branca
38,Masculino,São Paulo (SP),Cientista de dados,Pleno,10000.0,de 3 a 4 anos,Amarela
29,Masculino,São Paulo (SP),Analista de BI,Pleno,5000.0,de 1 a 2 anos,Parda
27,Feminino,São Paulo (SP),Analista de BI,Júnior,1500.0,de 1 a 2 anos,Preta
25,Masculino,Espírito Santo (ES),Cientista de dados,Pleno,10000.0,de 3 a 4 anos,Parda
43,Masculino,Rio Grande do Sul (RS),Outra opção,Júnior,5000.0,Mais de 10 anos,Branca
26,Masculino,São Paulo (SP),Cientista de dados,Júnior,5000.0,de 1 a 2 anos,Branca
25,Masculino,Ceará (CE),Cientista de dados,Júnior,2500.0,Menos de 1 ano,Branca
45,Masculino,,,,35000.0,de 7 a 10 anos,Preta
31,Masculino,São Paulo (SP),Analista de BI,Pleno,5000.0,de 3 a 4 anos,Branca
27,Masculino,São Paulo (SP),Analista de Dados,Pleno,5000.0,de 1 a 2 anos,Amarela
28,Masculino,São Paulo (SP),Analista de BI,Pleno,3500.0,de 3 a 4 anos,Branca
25,Masculino,Paraná (PR),,,,,Branca
28,Masculino,Ceará (CE),Engenheiro de dados,Sênior,22500.0,de 4 a 6 anos,Branca
31,Feminino,Rio de Janeiro (RJ),,,7000.0,de 1 a 2 anos,Branca
22,Masculino,São Paulo (SP),Cientista de dados,Júnior,2500.0,Menos de 1 ano,Branca
26,Masculino,Paraná (PR),,,,,Branca
30,Masculino,São Paulo (SP),Analista de Dados,Pleno,7000.0,de 1 a 2 anos,Preta
23,Masculino,São Paulo (SP),Analista de Dados,Sênior,18000.0,de 1 a 2 anos,Parda
38,Masculino,Minas Gerais (MG),Cientista de dados,Sênior,7000.0,de 5 a 6 anos,Preta
35,Masculino,Bahia (BA),Analista de Dados,Sênior,14000.0,de 5 a 6 anos,Parda
27,Feminino,Minas Gerais (MG),Cientista de dados,Pleno,7000.0,de 3 a 4 anos,Preta
29,Masculino,Piauí (PI),,,,,Preta
43,Masculino,Mato Grosso do Sul (MS),Outra opção,Pleno,7000.0,de 3 a 4 anos,Parda
29,Masculino,Rio de Janeiro (RJ),Outra opção,Júnior,10000.0,Não tenho experiência na área de dados,Branca
23,Masculino,Alagoas (AL),Engenheiro de dados,Júnior,3500.0,de 1 a 2 anos,Preta
26,Masculino,São Paulo (SP),Analista de Dados,Pleno,10000.0,de 1 a 2 anos,Branca
39,Masculino,Espírito Santo (ES),Engenheiro de dados,Sênior,10000.0,de 5 a 6 anos,Branca
33,Masculino,Santa Catarina (SC),Analista de BI,Pleno,7000.0,de 3 a 4 anos,Branca
34,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,10000.0,de 5 a 6 anos,Parda
31,Masculino,Rio de Janeiro (RJ),Outra opção,Sênior,10000.0,de 3 a 4 anos,Parda
26,Feminino,Paraná (PR),Analista de BI,Pleno,7000.0,de 1 a 2 anos,Branca
33,Feminino,Pernambuco (PE),,,,,Branca
28,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,10000.0,de 3 a 4 anos,Branca
27,Masculino,Rio Grande do Sul (RS),Outra opção,Júnior,5000.0,Menos de 1 ano,Branca
29,Masculino,Santa Catarina (SC),Analista de Dados,Pleno,5000.0,de 3 a 4 anos,Branca
39,Masculino,Paraná (PR),Outra opção,Sênior,14000.0,de 1 a 2 anos,Parda
28,Feminino,São Paulo (SP),Analista de BI,Pleno,7000.0,de 1 a 2 anos,Branca
29,Masculino,Santa Catarina (SC),Engenheiro de dados,Sênior,14000.0,de 1 a 2 anos,Branca
36,Masculino,São Paulo (SP),,,27500.0,de 7 a 10 anos,Branca
31,Masculino,Paraná (PR),Cientista de dados,Pleno,2500.0,de 1 a 2 anos,Branca
24,Feminino,Paraíba (PB),Analista de BI,Júnior,1500.0,Menos de 1 ano,Parda
22,Masculino,Paraná (PR),Outra opção,Júnior,1500.0,Menos de 1 ano,Parda
32,Masculino,Paraná (PR),Analista de Dados,Sênior,10000.0,de 7 a 10 anos,Branca
35,Feminino,Minas Gerais (MG),Analista de BI,Sênior,18000.0,de 3 a 4 anos,Outra
40,Feminino,Minas Gerais (MG),Analista de Dados,Sênior,10000.0,Mais de 10 anos,Preta
28,Masculino,Santa Catarina (SC),Analista de BI,Pleno,3500.0,de 3 a 4 anos,Branca
33,Masculino,Rio Grande do Sul (RS),Cientista de dados,Sênior,14000.0,de 7 a 10 anos,Branca
23,Masculino,São Paulo (SP),Outra opção,Júnior,2500.0,Não tenho experiência na área de dados,Branca
27,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Júnior,7000.0,de 3 a 4 anos,Parda
38,Masculino,São Paulo (SP),Analista de BI,Sênior,10000.0,de 1 a 2 anos,Preta
40,Masculino,São Paulo (SP),,,35000.0,Mais de 10 anos,Branca
30,Masculino,São Paulo (SP),Analista de Dados,Sênior,14000.0,de 1 a 2 anos,Branca
41,Masculino,,Analista de Dados,Pleno,10000.0,de 7 a 10 anos,Branca
26,Feminino,Paraná (PR),Outra opção,Pleno,10000.0,de 1 a 2 anos,Amarela
32,Masculino,Rio de Janeiro (RJ),Analista de BI,Sênior,14000.0,Mais de 10 anos,Branca
29,Feminino,São Paulo (SP),Analista de BI,Pleno,7000.0,de 1 a 2 anos,Parda
28,Masculino,Santa Catarina (SC),Analista de Dados,Pleno,10000.0,de 3 a 4 anos,Branca
36,Masculino,Santa Catarina (SC),,,18000.0,de 7 a 10 anos,Branca
54,Masculino,São Paulo (SP),Outra opção,Sênior,5000.0,Mais de 10 anos,Preta
32,Feminino,São Paulo (SP),Analista de BI,Sênior,10000.0,de 3 a 4 anos,Branca
28,Masculino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 1 a 2 anos,Parda
33,Feminino,Pernambuco (PE),,,,,Branca
25,Masculino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 3 a 4 anos,Parda
45,Masculino,Mato Grosso do Sul (MS),,,27500.0,Mais de 10 anos,Amarela
36,Masculino,Distrito Federal (DF),Outra opção,Pleno,10000.0,Não tenho experiência na área de dados,Parda
31,Masculino,Minas Gerais (MG),Analista de Dados,Sênior,10000.0,de 7 a 10 anos,Branca
32,Masculino,Santa Catarina (SC),Engenheiro de dados,Pleno,7000.0,de 3 a 4 anos,Branca
29,Masculino,Rio Grande do Sul (RS),Analista de Dados,Júnior,5000.0,de 3 a 4 anos,Branca
30,Feminino,Paraná (PR),Analista de Dados,Pleno,5000.0,de 3 a 4 anos,Branca
28,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Pleno,7000.0,de 3 a 4 anos,Parda
48,Feminino,São Paulo (SP),,,18000.0,de 1 a 2 anos,Branca
44,Masculino,São Paulo (SP),Cientista de dados,Sênior,18000.0,de 3 a 4 anos,Branca
28,Masculino,Espírito Santo (ES),,,,,Parda
30,Feminino,Paraná (PR),Analista de Dados,Sênior,10000.0,de 4 a 6 anos,Branca
49,Masculino,Sergipe (SE),,,,,Parda
28,Masculino,São Paulo (SP),Outra opção,Júnior,3500.0,de 1 a 2 anos,Branca
22,Masculino,Piauí (PI),Analista de Dados,Júnior,1500.0,Menos de 1 ano,Parda
33,Feminino,Rio Grande do Sul (RS),Analista de BI,Sênior,10000.0,de 5 a 6 anos,Branca
28,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Sênior,14000.0,de 5 a 6 anos,Amarela
28,Masculino,Bahia (BA),,,,,Branca
31,Masculino,Rio de Janeiro (RJ),Outra opção,Júnior,3500.0,de 1 a 2 anos,Parda
33,Masculino,Distrito Federal (DF),Cientista de dados,Sênior,14000.0,de 7 a 10 anos,Branca
27,Masculino,Rio de Janeiro (RJ),Analista de Dados,Júnior,2500.0,de 1 a 2 anos,Branca
36,Feminino,São Paulo (SP),,,35000.0,Mais de 10 anos,Parda
24,Feminino,Paraná (PR),Engenheiro de dados,Pleno,10000.0,de 5 a 6 anos,Preta
26,Masculino,Minas Gerais (MG),Cientista de dados,Sênior,10000.0,de 1 a 2 anos,Parda
48,Masculino,São Paulo (SP),,,10000.0,Mais de 10 anos,Parda
20,Masculino,Rio Grande do Sul (RS),Analista de BI,Júnior,3500.0,de 1 a 2 anos,Branca
55,Masculino,Rio de Janeiro (RJ),,,22500.0,Mais de 10 anos,Amarela
31,Masculino,Distrito Federal (DF),Engenheiro de dados,Pleno,7000.0,de 4 a 6 anos,Preta
29,Masculino,São Paulo (SP),,,,,Branca
32,Masculino,São Paulo (SP),,,,,Branca
40,Masculino,Minas Gerais (MG),Analista de BI,Sênior,7000.0,de 5 a 6 anos,Preta
30,Masculino,Paraná (PR),Outra opção,Júnior,3500.0,de 3 a 4 anos,Branca
32,Masculino,Paraíba (PB),Analista de Dados,Júnior,7000.0,Menos de 1 ano,Parda
28,Masculino,Santa Catarina (SC),,,10000.0,de 3 a 4 anos,Branca
25,Masculino,São Paulo (SP),Analista de BI,Júnior,2500.0,Menos de 1 ano,Branca
28,Masculino,São Paulo (SP),Cientista de dados,Sênior,14000.0,de 5 a 6 anos,Branca
30,Feminino,Rio de Janeiro (RJ),Analista de BI,Sênior,18000.0,de 3 a 4 anos,Branca
29,Feminino,São Paulo (SP),Analista de Dados,Júnior,5000.0,de 1 a 2 anos,Preta
37,Masculino,São Paulo (SP),Analista de Dados,Sênior,7000.0,de 4 a 6 anos,Parda
19,Masculino,São Paulo (SP),Engenheiro de dados,Júnior,1500.0,Menos de 1 ano,Branca
32,Masculino,Paraíba (PB),Engenheiro de dados,Sênior,10000.0,de 3 a 4 anos,Branca
25,Masculino,Paraná (PR),Outra opção,Júnior,5000.0,de 1 a 2 anos,Branca
33,Feminino,,Analista de BI,Sênior,10000.0,Mais de 10 anos,Amarela
35,Masculino,São Paulo (SP),Cientista de dados,Sênior,14000.0,de 3 a 4 anos,Branca
38,Masculino,Espírito Santo (ES),Cientista de dados,Sênior,14000.0,de 4 a 6 anos,Parda
32,Masculino,Rio de Janeiro (RJ),,,22500.0,de 5 a 6 anos,Outra
28,Masculino,São Paulo (SP),,,,,Branca
30,Masculino,Rio Grande do Sul (RS),,,10000.0,de 3 a 4 anos,Branca
24,Feminino,Santa Catarina (SC),Outra opção,Pleno,5000.0,Não tenho experiência na área de dados,Preta
31,Feminino,São Paulo (SP),Cientista de dados,Sênior,14000.0,Mais de 10 anos,Branca
31,Masculino,São Paulo (SP),,,14000.0,de 7 a 10 anos,Branca
28,Masculino,Rio Grande do Norte (RN),Analista de BI,Pleno,2500.0,de 3 a 4 anos,Parda
32,Masculino,São Paulo (SP),Analista de Dados,Pleno,10000.0,de 1 a 2 anos,Branca
31,Feminino,São Paulo (SP),,,14000.0,de 1 a 2 anos,Parda
27,Masculino,São Paulo (SP),Analista de Dados,Sênior,7000.0,de 3 a 4 anos,Branca
31,Feminino,Paraná (PR),Outra opção,Pleno,5000.0,de 1 a 2 anos,Parda
33,Masculino,São Paulo (SP),Analista de Dados,Pleno,3500.0,de 3 a 4 anos,Parda
29,Masculino,Minas Gerais (MG),,,18000.0,de 4 a 6 anos,Branca
32,Masculino,São Paulo (SP),,,22500.0,Mais de 10 anos,Parda
47,Masculino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 3 a 4 anos,Branca
29,Masculino,Rio de Janeiro (RJ),Analista de BI,Sênior,5000.0,de 1 a 2 anos,Branca
27,Masculino,Minas Gerais (MG),,,35000.0,de 3 a 4 anos,Branca
41,Masculino,Minas Gerais (MG),Analista de BI,Sênior,22500.0,de 7 a 10 anos,Preta
33,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,18000.0,de 5 a 6 anos,Parda
23,Masculino,São Paulo (SP),Cientista de dados,Júnior,1500.0,Não tenho experiência na área de dados,Branca
27,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Pleno,5000.0,de 1 a 2 anos,Branca
26,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,14000.0,de 5 a 6 anos,Branca
29,Masculino,São Paulo (SP),Outra opção,Sênior,10000.0,Não tenho experiência na área de dados,Branca
25,Masculino,Rio Grande do Sul (RS),Cientista de dados,Pleno,10000.0,de 3 a 4 anos,Branca
34,Masculino,São Paulo (SP),Analista de BI,Sênior,7000.0,de 1 a 2 anos,Branca
29,Feminino,Sergipe (SE),Analista de Dados,Júnior,2500.0,de 1 a 2 anos,Parda
26,Masculino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 5 a 6 anos,Branca
40,Masculino,São Paulo (SP),,,,,Branca
32,Masculino,Rio Grande do Sul (RS),Engenheiro de dados,Júnior,5000.0,de 1 a 2 anos,Branca
26,Feminino,São Paulo (SP),Engenheiro de dados,Sênior,18000.0,de 7 a 10 anos,Branca
34,Masculino,Bahia (BA),Cientista de dados,Sênior,40000.0,de 7 a 10 anos,Branca
40,Masculino,Rio de Janeiro (RJ),Analista de BI,Pleno,3500.0,de 5 a 6 anos,Parda
38,Masculino,Ceará (CE),Cientista de dados,Pleno,7000.0,de 1 a 2 anos,Branca
29,Masculino,São Paulo (SP),,,14000.0,Mais de 10 anos,Branca
25,Feminino,Goiás (GO),Outra opção,Pleno,7000.0,de 4 a 6 anos,Branca
26,Masculino,São Paulo (SP),Outra opção,Pleno,1500.0,de 3 a 4 anos,Parda
23,Feminino,Pará (PA),Engenheiro de dados,Pleno,5000.0,de 3 a 4 anos,Parda
43,Masculino,Santa Catarina (SC),Engenheiro de dados,Sênior,10000.0,de 7 a 10 anos,Branca
37,Masculino,São Paulo (SP),,,22500.0,Mais de 10 anos,Branca
31,Masculino,Minas Gerais (MG),,,18000.0,de 5 a 6 anos,Branca
39,Masculino,Bahia (BA),Outra opção,Júnior,5000.0,Mais de 10 anos,Parda
37,Masculino,São Paulo (SP),,,14000.0,de 4 a 6 anos,Branca
69,Masculino,São Paulo (SP),Outra opção,Sênior,22500.0,Mais de 10 anos,Branca
37,Masculino,Distrito Federal (DF),Analista de Dados,Pleno,14000.0,de 4 a 6 anos,Parda
27,Feminino,Minas Gerais (MG),Engenheiro de dados,Pleno,3500.0,de 3 a 4 anos,Parda
27,Masculino,São Paulo (SP),Cientista de dados,Sênior,22500.0,de 5 a 6 anos,Branca
35,Masculino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 4 a 6 anos,Branca
32,Masculino,Pernambuco (PE),,,,,Parda
27,Masculino,Goiás (GO),Engenheiro de dados,Pleno,3500.0,de 1 a 2 anos,Branca
25,Masculino,Paraná (PR),Analista de Dados,Sênior,10000.0,de 3 a 4 anos,Branca
34,Masculino,Espírito Santo (ES),,,35000.0,Mais de 10 anos,Branca
41,Masculino,Rio Grande do Sul (RS),Engenheiro de dados,Sênior,22500.0,Mais de 10 anos,Branca
39,Masculino,São Paulo (SP),,,14000.0,de 4 a 6 anos,Amarela
